Experiment,Condition,ParticipantID,InputMajNumOnly,InputMajAdjOnly,InputMajTwoMod,OutputMajNumOnly,OutputMajAdjOnly,OutputMajTwoMod,CommentsChoice,LanguagesSpoken,Timestamp
ISO,Morphology,MI10,0.5,0.7,0.8,0.2,0.7,0.6,Depending on the shape of the object,English,2016/06/28 11:06:27 am CET
ISO,Morphology,MI16,0.5,0.7,0.4,0.7,1,0.8,In the end I decided to stick to one definition instead of alternating between two.,English,2016/06/28 4:10:11 pm CET
ISO,Morphology,MI08,0.5,0.5,0.3,0.7,0.5,0.5,"I mostly paired kogla and nefri together and kospu and nezno together. No particular reason, they just seem to go together that way.",English,2016/06/28 5:11:56 pm CET
ISO,Morphology,MI02,0.7,0.7,0.9,0.8,0.8,0.9,kogla was easier to remember and more intuitive then kospu.,English,2016/06/29 10:16:14 am CET
ISO,Morphology,MI02,0.5,0.5,0.5,1,0.9,1,I simply remembered one form better.,English,2016/06/29 3:11:26 pm CET
ISO,Morphology,MI11,0.5,0.5,0.5,0.5,0.5,0.5,I used them randomly,"English, Telugu",2016/06/29 4:12:49 pm CET
ISO,Morphology,MI13,0.6,0.4,0.2,0.5,0.5,0.4,"It was actually random most of the time. However, I did use 'kospu' and nefri as a combination, and kogla nezno more.",English,2016/06/30 10:16:40 am CET
ISO,Morphology,MI06,0.7,0.9,0.9,0.8,0.9,0.9,nefri was for 2 objects and blue colour nezno was for 2 objects but grey colour. while kospu was for one object. ,Hindi and english ,2016/06/30 12:01:56 pm CET
ISO,Morphology,MI12,0.7,0.8,0.7,1,0.7,0.9,I did not pick up any pattern for which forms were used together so I often selected kogla/kospu and nezno/nefri randomly,English,2016/06/30 3:53:46 pm CET
ISO,Morphology,MI09,0.5,0.5,0.7,0.8,0.2,0.9,Basic idea from the training then trail and error in the tests.,French English,2016/07/01 11:02:27 am CET
ISO,Morphology,MI07,0.7,0.5,0.5,0.9,0.8,0.7,"It was easier to learn at first only one of each pair, therefore I chose Kogla and Nefri. These I could associate with words I already know, this helps them stick and makes them easier to remember by linking them with specific words. Once these were solidified in my mind I then tried remembering the other 2 using the same method.","English, Italian",2016/07/01 11:05:01 am CET
ISO,Morphology,MI04,0.5,0.7,0.7,0.8,0.9,0.9,picked one combination and stuck with it,"English, Romanian, Spanish",2016/07/01 6:07:26 pm CET
ISO,Morphology,MI03,0.3,0.1,0.9,0.1,0.8,0.7,"After determining the object as either mokte or jalpa, I would follow with the word kospu if singular, or kogla if plural should the colour be purple. If white I would not use the a k word. If there was one object i would end the description with nezno, if two I would use nefri. There was much error due to confusion memorizing in the short space of time though.",English,2016/07/04 12:10:04 pm CET
ISO,Morphology,MI15,0.8,0.9,0.9,1,1,0.9,By recollecting what Glerma had used during the tutorial session.,English Hindi Kannada,2016/07/05 1:53:34 pm CET
ISO,Morphology,MI05,0.6,0.6,0.3,0.5,0.5,0.3,"I learned the 6 words and what they meant and then used the 2 pairs of synonyms equally. That is, I tried to use every descriptive word the same amount.",English,2016/07/07 11:00:56 am CET
ISO,Morphology,MI17,0.7,0.6,0.4,0.8,0.5,0.4,"Nefri and nezden were used for number of objects and kogla and kospu were for colour, but I didn't decipher when to use each form together. ",English,2016/07/07 11:05:50 am CET
