Condition,SystemID,ParticipantID,Trial#,Description,Meaning
dyads,NLD01,NLD012,70,cir jumps l to cir,circle bounce circle PFV
dyads,NLD01,NLD012,6,a pink circle oscillates from right to left and back twice while an identical circle remains fixed on left,circle bounce circle
dyads,NLD01,NLD011,17,a circle horizontally moves from right to left to meet a fixed circle,circle slide circle PFV
dyads,NLD01,NLD012,68,cir moves b and f r to l to meet cir,circle slide circle
dyads,NLD01,NLD011,33,a circle jumps right to a cluster of circles,circle bounce circles PFV
dyads,NLD01,NLD012,2,a pink circle oscillated from left to right and back again twice while a fixed cluster remained on right,circle bounce circles
dyads,NLD01,NLD012,14,a single circle moved smoothly from left to right to join a cluster of about nine other circles,circle slide circles PFV
dyads,NLD01,NLD012,28,circle moves smoothly l to r and back a few times while cluster of circles stays right,circle slide circles
dyads,NLD01,NLD012,44,pile of circles jump to r to meet single circle,circles bounce circle PFV
dyads,NLD01,NLD012,54,pile of circles jump back and forth r to l while one circle stays left,circles bounce circle
dyads,NLD01,NLD011,15,a pile of nine circles move from right to left to join a square,circles slide circle PFV
dyads,NLD01,NLD012,56,pile of circles move somthly r to l and back a few times while one circles stays left,circles slide circle
dyads,NLD01,NLD012,76,p of cir jump r to pile of cir,circles bounce circles PFV
dyads,NLD01,NLD012,4,a cluster of circles moved from left to right and back again twice while a slightly smaller cluster remained on right also the larger cluster oscillated up and down,circles bounce circles
dyads,NLD01,NLD011,7,a cluster of circles just moves horizontally from left to right to get close to the other cluster of circles,circles slide circles PFV
dyads,NLD01,NLD011,47,piles of circle move back and forth to right to meet another pile,circles slide circles
dyads,NLD01,NLD012,26,circle jumps l to r to meet square,circle bounce square PFV
dyads,NLD01,NLD011,13,a circle jumps from left to right to meet a fixed square and then the circle jumps back and forth,circle bounce square
dyads,NLD01,NLD011,61,a cir moves to left to reach a squ,circle slide square PFV
dyads,NLD01,NLD011,67,cir moves b and f to meet a squ,circle slide square
dyads,NLD01,NLD011,25,a circle jumps to left to reach a pile of squares,circle bounce squares PFV
dyads,NLD01,NLD012,58,circle jumps b and forth l to r while pile of sq stays r,circle bounce squares
dyads,NLD01,NLD012,34,circle moves smoothly r to l to join pile of squares,circle slide squares PFV
dyads,NLD01,NLD011,79,cir ba and for to r to p of squ,circle slide squares
dyads,NLD01,NLD012,66,pile of cir jump r to meet sq,circles bounce square PFV
dyads,NLD01,NLD011,53,nine circles jumps back and forth to right to meet a sq,circles bounce square
dyads,NLD01,NLD012,48,pile of circles move smthly r to l to meet square,circles slide square PFV
dyads,NLD01,NLD011,21,a cluster of circles moves from left to right to meet a square and then the circles moves back and forth,circles slide square
dyads,NLD01,NLD012,74,pile of cir jump left to pile of sq,circles bounce squares PFV
dyads,NLD01,NLD011,51,nine circles jump back and forth to left to reach nine squares,circles bounce squares
dyads,NLD01,NLD012,12,a cluster of circles moves from right to left to meet a cluster of squares they move smoothly,circles slide squares PFV
dyads,NLD01,NLD012,40,nine circles move smoothly back and forth right to left while pile of squares stays on left,circles slide squares
dyads,NLD01,NLD011,23,a square jumps from right to left to meet a circle,square bounce circle PFV
dyads,NLD01,NLD012,72,sq jumps b and f to l to meet cir,square bounce circle
dyads,NLD01,NLD011,45,sq moves to right to meet a circle,square slide circle PFV
dyads,NLD01,NLD011,37,a square moves back and forth to right to meet a fixed circle,square slide circle
dyads,NLD01,NLD012,38,square jumped to left to meet pile of circles,square bounce circles PFV
dyads,NLD01,NLD011,3,a square jumps from right to a pile of dots and jumps back,square bounce circles
dyads,NLD01,NLD012,22,square moves smoothly l to r to join cluster of fixed circles,square slide circles PFV
dyads,NLD01,NLD012,30,sq moves smoothly right to left and back a few times while cluster of circles stays left,square slide circles
dyads,NLD01,NLD012,26,a pile of nine squares moves from right to left to join a fixed circle,squares bounce circle PFV
dyads,NLD01,NLD011,65,nine squs jumps back and forth to right to meet a cir,squares bounce circle
dyads,NLD01,NLD012,36,pile of squares moved smoothly right to meet circle,squares slide circle PFV
dyads,NLD01,NLD012,18,a cluster of squares moves smoothly from right to left and back a few times while a circle is fixed on left,squares slide circle
dyads,NLD01,NLD011,19,a pile to squares move from right to left to get close to nine circles,squares bounce circles PFV
dyads,NLD01,NLD011,75,pile of cir jump b and f to pile of squ,squares bounce circles
dyads,NLD01,NLD011,31,nine squares move to the left side to get close to nine circles,squares slide circles PFV
dyads,NLD01,NLD012,42,nine squares move smoothly l to r and back a few times while pile of circles stays right,squares slide circles
dyads,NLD01,NLD011,49,sq jumps to the left to meet another squ,square bounce square PFV
dyads,NLD01,NLD011,73,squ jumps b and f to l to squ,square bounce square
dyads,NLD01,NLD011,69,squ moves right to squ,square slide square PFV
dyads,NLD01,NLD011,41,a squ moves back and forth to right to meet another squ,square slide square
dyads,NLD01,NLD011,29,a square jumps to the right side to meet nine fixed squares,square bounce squares PFV
dyads,NLD01,NLD011,5,a square fluctuates from left to right to reach a cluster of nine squares,square bounce squares
dyads,NLD01,NLD012,32,sq moves smoothly  l to r to join pile of squares,square slide squares PFV
dyads,NLD01,NLD011,71,squ moves b and f to l to nine squa,square slide squares
dyads,NLD01,NLD011,1,a pile of dots moves left to get close to a fixed one,squares bounce square PFV
dyads,NLD01,NLD011,35,a pile of squares jump back and forth to left to meet a square,squares bounce square
dyads,NLD01,NLD012,0,a cluster of pink squares nine moved from right to left and met a fixed pink square,squares slide square PFV
dyads,NLD01,NLD011,57,piles of squ move a few times from r to l to reach a squ,squares slide square
dyads,NLD01,NLD012,62,pile of sq jump l to meet pile of sq,squares bounce squares PFV
dyads,NLD01,NLD012,8,a cluster of squares oscillates from left to right and back twice while a slightly smaller cluster of squares stays on right,squares bounce squares
dyads,NLD01,NLD011,39,nine squares moves to right to meet another nine,squares slide squares PFV
dyads,NLD01,NLD012,10,a cluster of squares moves smoothly from left to right and back twice while another cluster of similar size stays on right,squares slide squares
dyads,NLD01,NLD012,24,circle jumps l to r,circle bounce PFV
dyads,NLD01,NLD011,77,cir jumps ba and f,circle bounce
dyads,NLD01,NLD012,64,cir moves l,circle slide PFV
dyads,NLD01,NLD012,60,circle moves smthly b and f from l to r,circle slide
dyads,NLD01,NLD011,9,a pile of circles move directly from right to left,circles bounce PFV
dyads,NLD01,NLD011,55,nine circles jumps back and forth from r to l,circles bounce
dyads,NLD01,NLD012,46,pile of circles move smthly r to l,circles slide PFV
dyads,NLD01,NLD012,20,a cluster of nine circles move smoothly from left to right and back a few times,circles slide
dyads,NLD01,NLD012,50,sq jumps left,square bounce PFV
dyads,NLD01,NLD011,43,a square jumps back and forth from right to left,square bounce
dyads,NLD01,NLD011,63,a squ move to left,square slide PFV
dyads,NLD01,NLD011,59,a squ moves back and forth from r to l,square slide
dyads,NLD01,NLD012,78,p of sq jump l,squares bounce PFV
dyads,NLD01,NLD012,52,pile of squares jump back and forth r to l,squares bounce
dyads,NLD01,NLD011,11,a cluster of squares moves straight from left to right,squares slide PFV
dyads,NLD01,NLD011,27,nine squares move left to right and back and forth,squares slide
dyads,NLD02,NLD021,34,ball on left bounces towards ball on right,circle bounce circle PFV
dyads,NLD02,NLD021,54,ball bounces back and forth ball on right,circle bounce circle
dyads,NLD02,NLD022,15,a ball rolls from left to right towards a single ball on right,circle slide circle PFV
dyads,NLD02,NLD021,26,two balls ball on right back and forth,circle slide circle
dyads,NLD02,NLD022,75,a ball bouncing towards a set of balls and stop,circle bounce circles PFV
dyads,NLD02,NLD021,28,group of balls on left ball on right back and forth,circle bounce circles
dyads,NLD02,NLD021,10,single ball towards group of balls on the left,circle slide circles PFV
dyads,NLD02,NLD021,30,balls on left  ball on right back and forth,circle slide circles
dyads,NLD02,NLD021,42,balls bounce toward ball on left,circles bounce circle PFV
dyads,NLD02,NLD021,46,balls bounce back and forth towards ball on left,circles bounce circle
dyads,NLD02,NLD022,51,set of balls move towards a ball on right,circles slide circle PFV
dyads,NLD02,NLD021,44,balls move back and forth towards ball on left,circles slide circle
dyads,NLD02,NLD021,68,balls move to balls on left,circles bounce circles PFV
dyads,NLD02,NLD021,70,balls bounce back and forth towards balls on left,circles bounce circles
dyads,NLD02,NLD022,27,balls move from right to left towards set of balls on left,circles slide circles PFV
dyads,NLD02,NLD022,9,set of balls rolling back and forth towards a set of balls on right,circles slide circles
dyads,NLD02,NLD021,64,ball bounces to square on right,circle bounce square PFV
dyads,NLD02,NLD022,39,ball bounces back and forth and a square on right,circle bounce square
dyads,NLD02,NLD022,43,ball rolls from left to the square on right,circle slide square PFV
dyads,NLD02,NLD022,41,ball rolls back and forth and a square on right,circle slide square
dyads,NLD02,NLD022,33,squares on right ball from left to right,circle bounce squares PFV
dyads,NLD02,NLD021,32,square on left bouncing ball back and forth,circle bounce squares
dyads,NLD02,NLD021,78,ball towards squares on right,circle slide squares PFV
dyads,NLD02,NLD022,5,ball back and forth towards a set of squares on left,circle slide squares
dyads,NLD02,NLD021,20,bouncing balls toward square on right,circles bounce square PFV
dyads,NLD02,NLD022,69,balls bounce back and forth and a square on left,circles bounce square
dyads,NLD02,NLD021,76,balls move towards square on right,circles slide square PFV
dyads,NLD02,NLD022,11,set of balls rolling back and forth towards a single square on right,circles slide square
dyads,NLD02,NLD021,72,balls bounce towards squares on right,circles bounce squares PFV
dyads,NLD02,NLD022,7,set of balls bouncing back and forth towards a set of squares on right,circles bounce squares
dyads,NLD02,NLD021,48,balls move right towards squares,circles slide squares PFV
dyads,NLD02,NLD021,16,group of balls move back and forth group of balls on right,circles slide squares
dyads,NLD02,NLD022,59,box bounces from left to a ball on right,square bounce circle PFV
dyads,NLD02,NLD021,66,square bounces back and forth towards ball on right,square bounce circle
dyads,NLD02,NLD022,3,a square back and forth towards a ball on right,square slide circle PFV
dyads,NLD02,NLD022,21,a square moving back and forth towards a ball on right,square slide circle
dyads,NLD02,NLD021,6,square up and down towards balls on left,square bounce circles PFV
dyads,NLD02,NLD022,71,box bouncing back and forth and set of balls on right,square bounce circles
dyads,NLD02,NLD021,56,square moves right towards balls,square slide circles PFV
dyads,NLD02,NLD021,4,square on left back and forth group of balls on right,square slide circles
dyads,NLD02,NLD021,0,group of square on right up and down ball on left,squares bounce circle PFV
dyads,NLD02,NLD022,65,boxes bouncing back and forth and a ball on right,squares bounce circle
dyads,NLD02,NLD021,36,squares move right towards ball,squares slide circle PFV
dyads,NLD02,NLD021,40,squares move back and forth towards ball on left,squares slide circle
dyads,NLD02,NLD022,63,boxes bounce to balls on right and stop,squares bounce circles PFV
dyads,NLD02,NLD022,25,a set of squares bounce back and forth towards a set of balls on right,squares bounce circles
dyads,NLD02,NLD022,1,a set of squares moving in left direction towards a set of balls,squares slide circles PFV
dyads,NLD02,NLD021,74,squares back and forth toward balls on right,squares slide circles
dyads,NLD02,NLD022,19,a square bouncing right to left towards a square on left,square bounce square PFV
dyads,NLD02,NLD022,61,box bouncing back and forth and a box on right,square bounce square
dyads,NLD02,NLD022,79,box moving from left to a box on right,square slide square PFV
dyads,NLD02,NLD022,67,box moves back and forth to a box on right,square slide square
dyads,NLD02,NLD022,13,square bouncing right to left towards a set of squares,square bounce squares PFV
dyads,NLD02,NLD022,57,box bounces back and forth and boxes on right,square bounce squares
dyads,NLD02,NLD021,62,square moves to squares on left,square slide squares PFV
dyads,NLD02,NLD022,45,a box moves back and forth to a set of boxes on left,square slide squares
dyads,NLD02,NLD022,73,squares bounce from right to a square on left,squares bounce square PFV
dyads,NLD02,NLD022,55,boxes bounce back and forth and square on left,squares bounce square
dyads,NLD02,NLD021,14,group of square move towards single square on right,squares slide square PFV
dyads,NLD02,NLD022,37,squares move back and forth towards a square on left,squares slide square
dyads,NLD02,NLD021,22,squares bounce towards squares on right,squares bounce squares PFV
dyads,NLD02,NLD021,52,squares bounce back and forth towards squares on right,squares bounce squares
dyads,NLD02,NLD022,47,set of squares move from left to the set of squares on right,squares slide squares PFV
dyads,NLD02,NLD021,50,squares move back and forth towards squares on left,squares slide squares
dyads,NLD02,NLD021,38,ball bounces left to right,circle bounce PFV
dyads,NLD02,NLD022,17,a ball bouncing back and forth,circle bounce
dyads,NLD02,NLD021,8,ball right to left,circle slide PFV
dyads,NLD02,NLD021,2,ball back and forth,circle slide
dyads,NLD02,NLD022,53,balls bounce from left to right and stop,circles bounce PFV
dyads,NLD02,NLD022,31,balls bounce back and forth,circles bounce
dyads,NLD02,NLD021,60,balls move left to right,circles slide PFV
dyads,NLD02,NLD021,18,group of balls back and forth,circles slide
dyads,NLD02,NLD021,12,square bouncing right to left,square bounce PFV
dyads,NLD02,NLD022,35,box bouncing back and forth,square bounce
dyads,NLD02,NLD022,49,box move from right to left,square slide PFV
dyads,NLD02,NLD022,77,box moving back and forth,square slide
dyads,NLD02,NLD021,24,squares bounce right to left,squares bounce PFV
dyads,NLD02,NLD021,58,squares bounce back and forth,squares bounce
dyads,NLD02,NLD022,23,a set of squares move from right to left,squares slide PFV
dyads,NLD02,NLD022,29,set of boxes back and forth,squares slide
dyads,NLD03,NLD031,60,bub joins bub,circle bounce circle PFV
dyads,NLD03,NLD031,68,bub bounce attack bub,circle bounce circle
dyads,NLD03,NLD032,77,bub jo bub,circle slide circle PFV
dyads,NLD03,NLD031,58,bub attacks bub,circle slide circle
dyads,NLD03,NLD032,23,sin bub joins gr bub,circle bounce circles PFV
dyads,NLD03,NLD031,4,one pink bubble bounces to a group of pink bubbles then bounces back,circle bounce circles
dyads,NLD03,NLD031,40,single bub joins group of bub on left,circle slide circles PFV
dyads,NLD03,NLD031,70,bub slide attack group of bub,circle slide circles
dyads,NLD03,NLD031,66,grp of bub bounce join bub on right,circles bounce circle PFV
dyads,NLD03,NLD031,34,group of bub attacks a bub,circles bounce circle
dyads,NLD03,NLD032,69,gr bub jo bub,circles slide circle PFV
dyads,NLD03,NLD031,38,group of bub attack a bub on left,circles slide circle
dyads,NLD03,NLD031,74,grp bub bounce join grp bub,circles bounce circles PFV
dyads,NLD03,NLD031,30,group of bub attack group of bub,circles bounce circles
dyads,NLD03,NLD032,75,gr bub jo gr bub,circles slide circles PFV
dyads,NLD03,NLD032,73,gr bub att gr bub,circles slide circles
dyads,NLD03,NLD031,42,single bub bounces to join a sq,circle bounce square PFV
dyads,NLD03,NLD032,47,bub att sq,circle bounce square
dyads,NLD03,NLD032,31,bub joins sq,circle slide square PFV
dyads,NLD03,NLD032,19,sin bub attacks sin sq,circle slide square
dyads,NLD03,NLD032,59,bub jo gr sq,circle bounce squares PFV
dyads,NLD03,NLD031,52,bub attacks group of sq,circle bounce squares
dyads,NLD03,NLD031,46,bub joins group of sq,circle slide squares PFV
dyads,NLD03,NLD032,53,bub att gr sq,circle slide squares
dyads,NLD03,NLD031,32,group of bub joins single sq,circles bounce square PFV
dyads,NLD03,NLD032,79,gr bub att sq,circles bounce square
dyads,NLD03,NLD031,72,grp bub slide join sq,circles slide square PFV
dyads,NLD03,NLD032,15,gr bub attacks sin sq,circles slide square
dyads,NLD03,NLD031,44,group of bub bounce to join group of sq,circles bounce squares PFV
dyads,NLD03,NLD032,43,gr bub att gr sq,circles bounce squares
dyads,NLD03,NLD031,56,group of bub joins grp sq,circles slide squares PFV
dyads,NLD03,NLD031,78,grp bub slide attack grp sq,circles slide squares
dyads,NLD03,NLD032,61,sq jo bub,square bounce circle PFV
dyads,NLD03,NLD031,10,one pink square bouncing back and forth towards one pink circle that is on the left,square bounce circle
dyads,NLD03,NLD032,67,sq jo bub,square slide circle PFV
dyads,NLD03,NLD032,35,sq att bub,square slide circle
dyads,NLD03,NLD031,2,one pink square hopping from the right side to meet a group of pink bubbles on the left,square bounce circles PFV
dyads,NLD03,NLD032,5,one pink square wants to join group of bubbles but gets turned away,square bounce circles
dyads,NLD03,NLD031,24,single sq joins group of bubbles on left,square slide circles PFV
dyads,NLD03,NLD031,8,one pink square sliding back and forth towards a group of pink circles,square slide circles
dyads,NLD03,NLD031,16,group of squares attacks single bubble that is on the right ,squares bounce circle PFV
