Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,1wordTraining,"('mokte', 'plain', 'one')",mokte,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:54:50 2016
ISO, Morphology, NA, MI01,1wordTraining,"('jelpa', 'plain', 'one')",jelpa,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:54:54 2016
ISO, Morphology, NA, MI01,1wordTraining,"('jelpa', 'plain', 'one')",jelpa,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:54:58 2016
ISO, Morphology, NA, MI01,1wordTraining,"('jelpa', 'plain', 'one')",jelpa,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:55:02 2016
ISO, Morphology, NA, MI01,1wordTraining,"('mokte', 'plain', 'one')",mokte,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:55:06 2016
ISO, Morphology, NA, MI01,1wordTraining,"('mokte', 'plain', 'one')",mokte,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:55:10 2016
ISO, Morphology, NA, MI01,1wordTraining,"('mokte', 'plain', 'one')",mokte,2.31,correct,NA,NA,NA,NA,Wed Jun 29 09:55:41 2016
ISO, Morphology, NA, MI01,1wordTraining,"('mokte', 'plain', 'one')",mokte,1.15,correct,NA,NA,NA,NA,Wed Jun 29 09:55:45 2016
ISO, Morphology, NA, MI01,1wordTraining,"('jelpa', 'plain', 'one')",jelpa,1.16,correct,NA,NA,NA,NA,Wed Jun 29 09:55:50 2016
ISO, Morphology, NA, MI01,1wordTraining,"('jelpa', 'plain', 'one')",jelpa,2.31,correct,NA,NA,NA,NA,Wed Jun 29 09:55:55 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'blue', 'one')",jelpa kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:56:43 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'plain', 'two')",jelpa nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:56:47 2016
